,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.89,1.6,0.99,1.41,1.24,0.88,1.01,0.76,0.96,0.87,0.69
TEMP_0,2.03,0.81,1.68,0.88,1.06,1.76,1.14,1.03,1.12,1.11,0.79
PRES_0,0.93,1.14,0.91,2.18,1.19,0.86,0.97,0.79,0.96,0.83,0.62
PRES_1,1.75,0.95,2.97,0.78,1.1,2.18,1.23,0.97,1.13,1.23,0.98
DEWP_0,1.26,0.85,1.3,0.85,0.87,2.12,1.05,0.8,0.96,0.98,0.74
DEWP_1,1.04,1.53,1.1,1.76,2.42,0.83,1.09,0.95,1.13,0.95,0.72
WSPM_0,1.04,0.91,1.07,0.97,1.07,0.94,0.92,0.9,0.98,0.84,0.6
WSPM_1,1.28,1.31,1.38,1.24,1.25,1.45,1.38,0.81,1.1,1.19,1.07
PM10_0,1.19,1.05,1.27,1.03,1.11,1.22,1.11,0.84,0.85,1.31,2.07
PM10_1,1.17,1.14,1.22,1.21,1.29,1.08,1.12,0.95,1.47,0.84,0.77
PM10_2,2.29,1.9,2.22,2.27,2.33,2.08,2.04,1.84,3.31,1.96,0.58
