,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.29,1.75,0.29,0.94,0.46,0.43,0.35,0.58,0.47,0.5,2.6
TEMP_0,0.33,0.1,0.13,0.14,0.09,0.21,0.09,0.22,0.13,0.15,0.71
PRES_0,0.41,0.93,0.35,3.65,0.59,0.55,0.43,0.82,0.62,0.64,3.07
PRES_1,0.1,0.08,0.27,0.07,0.06,0.16,0.06,0.12,0.08,0.11,0.56
DEWP_0,0.35,0.37,0.31,0.42,0.24,1.47,0.28,0.47,0.34,0.45,2.21
DEWP_1,0.12,0.32,0.11,0.42,0.56,0.13,0.12,0.28,0.2,0.18,0.91
WSPM_0,0.49,0.67,0.43,0.82,0.53,0.61,0.38,1.32,0.63,0.64,3.04
WSPM_1,0.06,0.12,0.06,0.12,0.07,0.11,0.1,0.08,0.08,0.1,0.58
PM10_0,0.18,0.27,0.17,0.29,0.18,0.27,0.17,0.3,0.17,0.53,
PM10_1,0.12,0.2,0.11,0.24,0.15,0.16,0.11,0.24,0.33,0.13,1.34
PM10_2,,,,,,,,,,,
