,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1636913618525.68,1.02,7660265352.98,2.18,11455.45,6.69,330.38,1150719685.7
PRES_0,1.0,1.0,1092513862027.88,1.02,7668956373.34,2.18,11450.71,6.69,330.75,1152025244.68
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1644180508807.12,1.02,5804450974.87,2.18,11452.93,6.69,330.34,1126299716.78
DEWP_0,0.82,0.83,,0.84,425694350267.78,1.8,12023.51,5.96,339.49,6651474222.93
WSPM_0,1.0,1.0,1914397053660.78,1.02,5972536467.83,2.18,11085.38,6.68,328.54,1114938962.33
WSPM_1,1.0,1.0,,1.02,17616414249.33,2.18,13638.56,6.71,341.23,1361795180.46
PM10_0,1.0,1.0,2433309597350.16,1.02,9888849431.94,2.18,11867.75,7.19,272.94,736669339.0
PM10_1,1.0,1.0,,1.02,3015691867.67,2.18,10450.96,5.94,469.27,1855810380.11
PM10_2,1.0,1.01,,1.02,,2.19,10420.38,5.4,477.8,12827843144.23
