,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.33,0.91,0.39,0.83,0.6,0.25
PRES_0,1.0,1.0,0.39,1.0,0.33,0.91,0.39,0.83,0.6,0.25
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,1.0,0.38,0.91,0.39,0.83,0.6,0.25
DEWP_0,8.89,8.89,,9.55,0.33,8.01,2.54,6.94,5.51,
WSPM_0,1.06,1.06,0.34,1.06,0.38,0.96,0.43,0.88,0.62,0.26
WSPM_1,2.08,2.08,,2.08,0.49,1.89,0.69,1.68,1.41,0.52
PM10_0,1.16,1.16,0.28,1.16,0.37,1.05,0.46,0.91,0.79,0.46
PM10_1,1.59,1.59,,1.59,,1.44,0.58,1.47,0.75,0.27
PM10_2,5.89,5.89,,5.87,,5.34,2.1,5.74,3.05,0.38
