,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.73,0.72,0.67,0.7,0.7,0.67,0.65,0.63,0.65,0.62,0.67,0.64,0.63,0.58,0.58,0.57,1.28,0.83,1.29,0.8,1.34,1.34,,1.33,0.65,1.33,0.41,1.28,0.79
ENE,0.75,0.72,0.69,0.67,0.7,0.68,0.62,0.66,0.65,0.66,0.64,0.63,0.61,0.57,0.57,0.56,1.28,0.86,1.3,0.79,1.35,1.35,,1.35,,1.35,0.44,1.29,0.82
ESE,0.77,0.76,0.71,0.72,0.72,0.71,0.71,0.66,0.66,0.64,0.69,0.66,0.61,0.61,0.62,0.55,1.35,0.83,1.35,0.8,1.39,1.39,,1.38,,1.38,0.44,1.32,0.81
NE,0.77,0.76,0.74,0.7,0.76,0.74,0.65,0.67,0.66,0.66,0.67,0.65,0.7,0.63,0.67,0.64,1.36,0.96,1.37,0.91,1.42,1.42,,1.41,,1.41,0.51,1.35,0.85
SSW,0.83,0.82,0.76,0.81,0.69,0.69,0.77,0.69,0.68,0.67,0.67,0.69,0.65,0.62,0.58,0.57,1.38,0.84,1.39,0.83,1.44,1.43,,1.43,,1.43,0.3,1.37,0.82
SW,0.8,0.82,0.76,0.76,0.69,0.69,0.71,0.72,0.7,0.72,0.64,0.68,0.64,0.62,0.58,0.56,1.38,0.88,1.39,0.81,1.44,1.44,,1.44,,1.44,0.42,1.38,0.84
NNE,0.79,0.78,0.76,0.73,0.78,0.78,0.68,0.69,0.71,0.71,0.72,0.68,0.7,0.65,0.59,0.59,1.41,1.12,1.43,0.98,1.48,1.48,,1.47,,1.47,0.61,1.41,0.9
SE,0.81,0.8,0.75,0.79,0.73,0.74,0.82,0.68,0.7,0.66,0.72,0.76,0.71,0.72,0.59,0.6,1.4,0.88,1.42,0.81,1.47,1.47,,1.47,,1.47,0.47,1.41,0.87
S,0.82,0.86,0.79,0.82,0.71,0.72,0.82,0.71,0.68,0.65,0.73,0.72,0.77,0.74,0.67,0.62,1.42,0.86,1.43,0.83,1.48,1.48,,1.48,,1.48,0.5,1.41,0.86
SSE,0.84,0.84,0.8,0.85,0.76,0.74,0.82,0.69,0.7,0.67,0.72,0.71,0.72,0.69,0.69,0.65,1.44,0.87,1.46,0.83,1.5,1.5,,1.5,,1.5,0.57,1.44,0.88
