,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.97,0.91,0.96,0.89,0.82,0.83,0.84,0.79,0.81,0.83,0.84,0.79,0.75,0.71,0.74,1.54,0.91,1.56,0.95,1.61,1.6,,1.6,,1.6,0.46,1.55,0.98
ENE,1.0,1.0,0.9,0.94,0.89,0.86,0.78,0.79,0.8,0.82,0.9,0.82,0.8,0.78,0.8,0.91,1.57,0.94,1.58,0.94,1.64,1.64,,1.63,,1.63,0.56,1.58,0.96
ESE,1.08,1.09,1.0,0.97,0.89,0.9,0.98,0.94,0.91,0.84,0.79,0.92,0.77,0.71,0.77,0.72,1.66,0.99,1.67,0.96,1.71,1.71,,1.71,,1.71,0.4,1.65,1.11
NE,1.01,1.03,0.94,1.0,1.02,1.02,0.9,0.86,0.86,0.8,1.01,0.86,0.86,0.81,0.87,1.02,1.68,1.09,1.7,1.13,1.75,1.75,,1.75,,1.75,0.49,1.69,1.02
SSW,1.2,1.12,1.14,1.04,1.0,1.0,1.12,1.01,0.97,1.0,0.84,0.93,0.83,0.77,0.72,0.62,1.75,1.16,1.76,1.04,1.8,1.8,,1.8,,1.8,,1.74,1.26
SW,1.25,1.23,1.13,1.04,1.02,1.0,0.93,1.02,1.03,1.04,0.91,0.85,0.84,0.68,0.85,0.67,1.74,1.13,1.76,0.96,1.81,1.81,,1.81,,1.81,,1.75,1.26
NNE,1.11,1.16,1.04,1.09,0.93,1.1,1.0,0.84,0.77,0.78,1.12,0.99,0.9,0.93,0.8,0.94,1.8,1.25,1.82,1.2,1.88,1.88,,1.88,,1.88,0.76,1.82,1.05
SE,1.21,1.19,1.1,1.11,0.96,0.99,1.24,1.0,0.97,0.97,0.89,1.06,0.94,0.86,0.66,0.75,1.86,1.14,1.85,1.04,1.89,1.89,,1.89,,1.89,0.46,1.83,1.34
S,1.3,1.28,1.19,1.17,1.02,1.0,1.33,1.07,1.0,0.96,0.88,1.03,0.92,0.89,0.72,0.67,1.83,1.14,1.85,1.08,1.9,1.9,,1.89,,1.89,,1.83,1.29
SSE,1.21,1.23,1.24,1.17,1.06,1.04,1.26,1.03,1.04,1.0,0.8,1.04,0.92,0.95,0.91,0.76,1.87,1.11,1.9,1.09,1.94,1.94,,1.94,,1.94,0.62,1.88,1.32
WSW,1.17,1.07,1.22,0.96,1.21,1.09,0.89,1.16,1.22,1.17,1.0,0.9,0.94,0.78,0.81,0.84,1.88,1.2,1.88,1.1,1.95,1.95,,1.95,,1.95,,1.88,1.48
N,1.21,1.18,1.07,1.11,1.15,1.32,1.06,0.95,1.02,0.95,1.11,1.01,0.86,0.91,0.85,0.88,1.91,1.35,1.91,1.26,1.97,1.97,,1.97,,1.97,,1.9,1.11
NW,1.16,1.16,1.27,1.13,1.19,1.17,1.07,1.02,1.11,1.17,1.11,1.05,1.0,0.99,0.93,0.86,2.0,2.31,2.02,1.68,2.09,2.09,,2.09,,2.09,,2.01,1.39
NNW,1.39,1.34,1.4,1.28,1.4,1.49,1.14,1.11,1.04,1.0,1.19,1.18,1.03,1.01,0.98,0.94,2.1,2.3,2.13,1.8,2.2,2.2,,2.22,,2.2,,2.12,1.39
WNW,1.39,1.36,1.3,1.23,1.35,1.17,1.32,1.36,1.32,1.14,1.23,1.14,1.09,0.97,1.0,1.13,2.17,1.95,2.21,1.55,2.27,2.27,,2.26,,2.27,,2.22,1.49
W,1.37,1.14,1.33,0.98,1.52,1.4,0.99,1.34,1.56,1.39,1.34,1.11,1.21,0.99,0.94,1.0,2.22,1.48,2.23,1.4,2.29,2.28,,2.28,,2.28,,2.21,1.76
PM2.5_0,0.64,0.63,0.6,0.59,0.58,0.57,0.55,0.54,0.55,0.53,0.53,0.54,0.51,0.49,0.47,0.45,1.0,0.63,1.01,0.6,1.04,1.04,0.23,1.04,0.31,1.04,0.33,1.0,0.68
PM2.5_1,1.06,1.01,0.99,0.92,0.84,0.85,0.83,0.96,0.86,0.82,0.81,0.73,0.41,0.49,0.56,0.74,1.57,1.0,1.58,0.98,1.63,1.63,,1.63,,1.63,,1.57,0.88
PM10_0,0.64,0.63,0.6,0.59,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.53,0.51,0.48,0.46,0.45,0.99,0.64,1.0,0.6,1.03,1.03,0.22,1.03,0.31,1.03,0.33,0.99,0.67
PM10_1,1.08,1.02,1.0,0.94,0.95,1.01,0.87,0.98,0.97,0.89,0.95,0.74,0.44,0.54,0.64,0.8,1.66,1.0,1.65,1.0,1.7,1.7,,1.7,,1.7,,1.64,0.97
TEMP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.3,1.0,0.29,0.97,0.65
PRES_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,,1.0,0.3,1.0,0.29,0.97,0.65
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.62,0.61,0.58,0.57,0.56,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.28,1.0,0.29,0.97,0.65
DEWP_0,2.22,2.53,,2.17,,,1.36,,,,,,2.06,2.34,,,3.61,,3.64,,3.75,3.75,,3.83,1.13,3.75,,3.47,2.16
RAIN_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.3,1.0,0.29,0.97,0.65
RAIN_1,2.13,2.05,2.07,1.7,,,1.35,,,,,,,,,,3.26,,3.33,,3.43,3.43,,3.42,,3.42,1.0,3.22,2.63
WSPM_0,0.64,0.62,0.6,0.58,0.58,0.58,0.54,0.55,0.55,0.53,0.54,0.52,0.5,0.47,0.45,0.46,1.0,0.61,1.01,0.6,1.04,1.03,0.24,1.03,0.29,1.03,0.31,1.0,0.67
WSPM_1,1.04,1.03,0.92,0.99,0.81,0.8,0.93,0.79,0.77,0.82,0.72,0.9,0.72,0.74,0.69,0.63,1.49,1.25,1.5,1.01,1.55,1.55,,1.55,0.5,1.55,0.4,1.5,1.0
