,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1273155036631.08,1.02,6249163840.59,2.18,9195.18,6.42,290.75,829442109.22
PRES_0,1.0,1.0,728342574685.25,1.02,6256253883.52,2.18,9198.52,6.42,291.08,830383159.94
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1278807062405.54,1.02,4184604191.18,2.18,9182.63,6.42,290.76,824687620.34
DEWP_0,0.92,0.93,,0.84,471304459225.04,1.96,12023.51,6.7,289.19,
WSPM_0,1.0,1.0,1488975486180.6,1.02,4400816344.72,2.18,8620.12,6.41,289.74,844799566.17
WSPM_1,1.0,1.01,,1.02,17152824400.66,2.17,12587.56,6.45,296.75,738846321.31
PM10_0,1.0,1.0,1892574131272.35,1.02,8390538911.95,2.18,9692.74,7.17,220.65,474464998.0
PM10_1,1.0,1.0,,1.02,,2.18,8035.43,5.23,461.78,1384608525.78
PM10_2,1.0,1.01,,1.02,,2.19,7815.28,3.63,471.51,12352737842.59
