,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.87,1.17,0.96,1.25,1.15,0.83,0.93,0.69,0.87,0.78,0.59
TEMP_0,1.51,0.77,1.45,0.83,0.98,1.58,1.05,0.81,1.01,0.98,0.68
PRES_0,0.88,0.98,0.89,1.63,1.1,0.81,0.91,0.69,0.86,0.76,0.54
PRES_1,1.47,0.86,2.1,0.73,1.01,1.88,1.09,0.81,1.03,1.05,0.83
DEWP_0,1.13,0.78,1.2,0.8,0.85,1.61,0.96,0.71,0.89,0.86,0.64
DEWP_1,0.97,1.29,1.03,1.53,1.77,0.79,1.01,0.77,0.98,0.85,0.61
WSPM_0,0.96,0.85,1.01,0.92,1.01,0.89,0.89,0.72,0.88,0.77,0.52
WSPM_1,1.18,1.06,1.28,1.1,1.14,1.27,1.14,0.76,0.99,1.0,0.89
PM10_0,1.08,0.94,1.18,0.96,1.03,1.11,1.0,0.73,0.81,1.01,1.47
PM10_1,1.07,0.99,1.12,1.09,1.17,0.99,1.02,0.79,1.16,0.79,0.58
PM10_2,1.78,1.47,1.86,1.81,1.9,1.76,1.66,1.31,1.98,1.46,0.51
