,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,12.14,3.95,6.92,33.24,7.21,36.66,4.89,84.6,18.47,32.46,17027.32
TEMP_0,0.74,94.36,3.11,128.66,14.57,11.79,6.08,53.66,20.28,28.23,20409.93
PRES_0,9.78,22.68,8.1,3.65,7.4,36.0,5.33,73.13,17.33,33.36,20699.61
PRES_1,3.46,72.75,0.27,199.9,15.34,9.17,5.42,70.7,22.75,25.87,13941.35
DEWP_0,5.41,57.26,3.92,108.27,17.5,1.92,4.83,86.08,22.01,26.48,16304.77
DEWP_1,10.39,17.79,7.29,23.94,0.75,58.44,6.05,54.72,15.6,36.26,21010.32
WSPM_0,6.87,45.69,5.39,71.48,9.17,30.03,7.06,28.45,17.55,32.89,21099.42
WSPM_1,9.0,28.84,5.43,70.68,11.99,20.5,2.11,156.31,22.34,26.74,13148.36
PM10_0,7.31,42.19,4.85,85.07,11.64,21.69,4.86,85.32,35.71,7.3,
PM10_1,7.99,36.88,5.88,59.36,8.74,31.47,5.76,62.12,4.52,61.06,8394.16
PM10_2,7.17,43.28,6.14,52.67,8.8,31.2,6.27,48.71,,13.79,168473.91
