,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,2000672200420.27,1.02,8869780935.03,2.18,12721.98,6.85,359.05,1442599314.01
PRES_0,1.0,1.0,1456685149370.5,1.02,8879844221.77,2.18,12718.68,6.85,359.46,1444236027.55
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2009553955208.7,1.02,7019336062.63,2.18,12721.52,6.85,358.97,1404710882.73
DEWP_0,0.82,0.83,,0.84,425694350267.78,1.8,12825.08,5.96,377.21,9977211334.4
WSPM_0,1.0,1.0,2339818621140.95,1.02,6679810523.23,2.18,12400.87,6.85,356.42,1372799295.03
WSPM_1,1.0,1.0,,1.02,21788722887.32,2.18,14616.23,6.87,374.58,1854359394.67
PM10_0,1.0,1.0,2974045063427.98,1.02,11487047319.93,2.18,13134.31,7.21,311.02,948929995.99
PM10_1,0.99,1.0,,1.02,3711620760.22,2.18,11710.7,6.37,474.06,2327012234.43
PM10_2,0.99,0.99,,1.01,,2.16,10821.16,6.05,484.08,12827843144.23
