,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.5,0.99,0.72,1.0,0.48,0.94,0.79,0.95,0.82
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.46,0.99,0.86,1.01,0.53,0.94,0.8,0.96,0.84
PRES_0,1.44,,1.63,0.67,1.45,,1.36,1.1,1.44,1.01
DEWP_0,1.0,0.46,0.99,0.72,1.0,0.51,0.94,0.79,0.95,0.81
DEWP_1,2.24,,2.0,,2.29,0.44,2.19,,,1.76
WSPM_0,1.04,0.44,1.03,0.7,1.04,0.44,0.96,0.89,1.01,0.79
WSPM_1,1.2,,1.18,1.12,1.2,,1.2,0.83,1.11,1.62
PM10_0,1.04,0.43,1.03,0.8,1.04,,0.97,0.81,0.96,0.99
PM10_1,1.22,,1.21,0.77,1.22,0.38,1.14,0.97,1.35,0.81
