,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.01,1.0,0.03,0.96,0.53,0.87,0.6,0.08
PRES_0,1.0,1.0,0.01,1.0,0.03,0.96,0.53,0.87,0.6,0.08
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.01,1.0,0.03,0.96,0.53,0.87,0.6,0.08
DEWP_0,3.54,3.54,,3.54,0.86,3.41,2.08,3.21,2.46,0.63
WSPM_0,1.04,1.04,0.01,1.04,0.03,1.0,0.54,0.9,0.62,0.08
WSPM_1,1.62,1.62,,1.62,0.08,1.56,0.94,1.41,1.04,0.14
PM10_0,1.1,1.1,0.01,1.1,0.04,1.06,0.6,1.0,0.6,0.07
PM10_1,1.36,1.36,,1.36,0.02,1.31,0.67,1.11,0.98,0.13
PM10_2,3.26,3.26,,3.26,,3.14,1.61,2.58,2.4,0.83
