,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.0,0.98,1.0,0.88,0.81,0.84,0.78,0.84,0.81,0.85,0.91,0.82,0.7,0.77,0.82,0.91,1.56,1.12,1.55,1.16,1.41,1.4,1.42,1.38,1.41,1.39,1.64,0.39,1.55,1.09
E,1.01,1.0,1.0,0.93,0.86,0.89,0.81,0.83,0.87,0.9,0.92,0.84,0.78,0.75,0.79,0.84,1.61,1.1,1.59,1.14,1.43,1.42,1.44,1.42,1.44,1.42,1.67,0.34,1.58,1.11
NE,0.99,0.98,1.0,0.92,1.01,0.93,0.85,0.87,0.84,0.84,1.04,0.82,0.71,0.71,0.84,0.92,1.58,1.17,1.56,1.21,1.42,1.42,1.46,1.41,1.45,1.41,1.67,0.39,1.58,1.08
ESE,1.12,1.06,1.06,1.0,0.96,0.82,0.85,0.99,0.94,0.95,0.93,0.95,0.87,0.78,0.85,0.84,1.7,1.17,1.68,1.22,1.55,1.49,1.53,1.5,1.53,1.5,1.78,0.34,1.68,1.27
SW,1.21,1.15,1.06,1.09,1.0,1.02,1.02,0.99,0.95,0.92,0.85,1.02,0.98,1.02,0.99,0.73,1.72,1.18,1.73,1.15,1.62,1.49,1.54,1.61,1.52,1.6,1.81,,1.72,1.37
NW,1.19,1.15,1.09,1.24,0.97,1.0,1.18,0.93,0.92,0.89,0.91,0.9,0.91,0.92,0.88,0.78,1.7,1.96,1.69,1.66,1.55,1.54,1.62,1.51,1.7,1.53,1.82,,1.75,1.29
SSW,1.32,1.28,1.23,1.18,1.05,0.95,1.0,1.24,1.04,1.15,0.88,1.05,0.98,0.99,0.98,0.77,1.81,1.31,1.81,1.28,1.7,1.57,1.63,1.72,1.62,1.66,1.91,,1.83,1.44
NNE,1.18,1.15,1.15,1.04,0.97,1.11,0.81,1.0,0.89,0.97,1.11,1.04,0.77,0.79,0.91,0.94,1.8,1.39,1.79,1.42,1.63,1.68,1.66,1.61,1.68,1.59,1.92,,1.8,1.21
SE,1.17,1.13,1.17,1.09,1.09,1.01,0.99,1.15,1.0,1.12,0.96,0.87,0.93,0.96,0.77,0.85,1.85,1.28,1.85,1.32,1.7,1.61,1.66,1.66,1.65,1.66,1.93,0.44,1.83,1.5
N,1.16,1.12,1.17,0.98,1.1,1.09,0.88,1.02,0.91,1.0,0.99,0.99,0.99,0.9,0.89,0.78,1.8,1.51,1.79,1.53,1.67,1.65,1.7,1.6,1.71,1.61,1.93,,1.81,1.29
WSW,0.99,1.03,0.9,0.96,1.21,1.14,1.21,0.84,1.02,0.98,1.0,0.92,1.13,1.14,0.9,0.78,1.87,1.2,1.87,1.25,1.75,1.56,1.66,1.72,1.63,1.75,1.96,,1.82,1.59
NNW,1.2,1.25,1.2,1.06,1.08,1.1,0.97,0.96,1.14,1.01,1.07,1.0,0.92,1.0,0.98,0.8,1.85,1.83,1.84,1.75,1.7,1.67,1.75,1.66,1.81,1.65,1.98,,1.89,1.4
S,1.45,1.3,1.37,1.2,1.07,1.2,1.01,1.33,1.06,1.04,0.95,1.11,1.0,0.98,0.95,0.8,1.93,1.35,1.93,1.33,1.77,1.68,1.72,1.78,1.73,1.72,2.02,,1.92,1.51
SSE,1.3,1.31,1.42,1.3,1.03,1.09,1.02,1.3,1.06,1.18,0.94,0.96,1.03,1.0,0.9,0.86,1.98,1.35,1.98,1.39,1.82,1.65,1.76,1.78,1.76,1.78,2.06,,1.95,1.52
WNW,1.27,1.21,1.2,1.21,1.02,1.17,1.07,1.1,1.2,1.12,1.07,1.01,1.1,1.08,1.0,1.07,1.94,1.9,1.92,1.73,1.82,1.76,1.84,1.74,1.87,1.75,2.08,,1.96,1.45
W,1.08,1.12,1.05,1.16,1.36,1.29,1.37,1.02,1.16,1.2,1.29,1.21,1.28,1.17,0.99,1.0,2.14,1.4,2.13,1.46,1.97,1.85,1.91,1.9,1.88,1.9,2.23,,2.11,1.78
PM2.5_0,0.64,0.62,0.63,0.58,0.58,0.6,0.55,0.55,0.54,0.56,0.53,0.55,0.52,0.5,0.52,0.47,1.0,0.73,1.0,0.73,0.92,0.88,0.91,0.89,0.91,0.9,1.05,0.26,0.99,0.77
PM2.5_1,0.9,0.91,0.85,0.85,0.82,0.61,0.79,0.72,0.8,0.67,0.8,0.59,0.75,0.74,0.55,0.69,1.38,1.0,1.32,1.04,1.26,1.23,1.25,1.23,1.25,1.22,1.45,,1.38,0.84
PM10_0,0.64,0.63,0.64,0.59,0.57,0.6,0.54,0.56,0.54,0.56,0.53,0.55,0.52,0.5,0.52,0.47,1.0,0.76,1.0,0.75,0.92,0.89,0.91,0.9,0.91,0.9,1.06,0.26,1.0,0.77
PM10_1,0.87,0.87,0.83,0.81,0.84,0.64,0.8,0.7,0.78,0.65,0.79,0.59,0.75,0.73,0.58,0.67,1.37,0.96,1.34,1.0,1.24,1.19,1.22,1.2,1.22,1.2,1.42,,1.35,0.89
TEMP_1,0.71,0.7,0.7,0.65,0.62,0.64,0.59,0.62,0.59,0.61,0.58,0.59,0.56,0.55,0.56,0.51,1.09,0.8,1.09,0.81,1.0,0.97,0.99,0.99,0.99,0.98,1.15,0.26,1.09,0.82
TEMP_0,0.71,0.7,0.7,0.67,0.67,0.65,0.64,0.6,0.62,0.6,0.63,0.59,0.6,0.59,0.57,0.54,1.13,0.82,1.12,0.84,1.03,1.0,1.03,1.01,1.02,1.01,1.19,,1.12,0.85
PRES_0,0.7,0.69,0.68,0.65,0.66,0.62,0.62,0.6,0.6,0.59,0.61,0.58,0.59,0.57,0.55,0.52,1.1,0.8,1.09,0.81,1.01,0.96,1.0,0.98,1.0,0.99,1.16,0.27,1.1,0.83
PRES_1,0.72,0.7,0.71,0.67,0.63,0.66,0.59,0.62,0.61,0.62,0.58,0.6,0.56,0.56,0.58,0.52,1.12,0.81,1.11,0.84,1.02,0.99,1.02,1.0,1.02,1.0,1.18,0.27,1.11,0.84
DEWP_1,0.71,0.7,0.69,0.65,0.66,0.61,0.62,0.59,0.61,0.59,0.61,0.56,0.58,0.57,0.54,0.53,1.1,0.79,1.09,0.82,1.01,0.98,1.0,0.98,1.0,0.99,1.16,0.26,1.1,0.82
DEWP_0,0.72,0.7,0.71,0.66,0.63,0.66,0.6,0.63,0.6,0.62,0.58,0.61,0.58,0.56,0.57,0.52,1.12,0.82,1.11,0.83,1.02,0.99,1.01,1.0,1.01,1.0,1.18,,1.11,0.85
RAIN_0,0.61,0.6,0.6,0.56,0.55,0.55,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.48,0.48,0.45,0.95,0.69,0.94,0.71,0.87,0.84,0.86,0.85,0.86,0.85,1.0,0.23,0.95,0.71
RAIN_1,2.61,2.46,2.49,2.6,,,,,,,,,,,,,4.01,,4.03,,3.84,,3.77,,3.76,,4.37,1.0,4.08,4.16
WSPM_0,0.64,0.63,0.62,0.59,0.59,0.57,0.55,0.55,0.55,0.54,0.55,0.53,0.52,0.51,0.49,0.48,1.01,0.71,1.0,0.73,0.92,0.89,0.91,0.9,0.91,0.9,1.06,0.26,1.0,0.75
WSPM_1,0.91,0.92,0.92,0.81,0.76,0.79,0.74,0.77,0.72,0.75,0.67,0.72,0.7,0.7,0.7,0.6,1.32,1.3,1.31,1.14,1.23,1.18,1.22,1.19,1.25,1.19,1.4,0.26,1.33,1.0
