,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.17,0.99,0.55,1.0,0.27,1.0,0.88,0.97,0.78
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.2,1.01,0.42,1.01,0.26,1.01,0.9,0.99,0.77
PRES_0,1.43,,1.19,1.76,1.43,0.56,1.47,0.98,1.32,1.4
DEWP_0,1.0,0.19,0.99,0.54,1.0,0.25,1.0,0.88,0.97,0.78
DEWP_1,2.2,,2.16,,2.2,3.19,2.33,,,2.72
WSPM_0,1.04,0.22,1.04,0.55,1.04,0.25,1.06,0.82,1.0,0.84
WSPM_1,1.2,,1.19,0.74,1.2,,1.13,1.3,1.2,0.94
PM10_0,1.04,0.21,1.04,0.52,1.04,,1.03,1.0,1.06,0.64
PM10_1,1.21,,1.19,0.81,1.21,0.39,1.25,0.67,0.97,1.34
