,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,234.62,1.0,90.09,1.21,8.57,1.54,3.62,78.06
PRES_0,1.0,1.0,177.4,1.0,90.11,1.21,8.57,1.54,3.62,78.08
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,234.88,1.0,72.22,1.21,8.55,1.54,3.62,78.46
DEWP_0,0.26,0.26,,0.25,210.79,0.31,2.51,0.42,0.99,
WSPM_0,0.96,0.96,257.22,0.97,70.31,1.17,7.97,1.48,3.45,75.92
WSPM_1,0.62,0.62,,0.62,97.87,0.75,6.2,0.95,2.37,44.81
PM10_0,0.91,0.91,259.06,0.91,97.91,1.1,8.09,1.48,2.85,57.08
PM10_1,0.73,0.73,,0.74,,0.89,5.63,1.02,3.35,71.26
PM10_2,0.31,0.31,,0.31,,0.37,2.29,0.34,1.46,92.37
