,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.56,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.45,0.86,0.2,0.73,0.43,0.15
DEWP_0,6.4,6.39,,6.37,0.03,5.47,0.93,4.3,2.5,0.08
WSPM_0,1.05,1.05,0.53,1.04,0.42,0.9,0.21,0.76,0.44,0.15
WSPM_1,1.8,1.8,,1.79,0.33,1.54,0.3,1.29,0.9,0.28
PM10_0,1.13,1.13,0.28,1.12,0.34,0.97,0.22,0.77,0.58,0.33
PM10_1,1.45,1.45,,1.44,0.66,1.24,0.28,1.18,0.44,0.11
PM10_2,4.13,4.13,,4.11,,3.53,0.82,3.94,1.31,0.05
