,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,25.35,0.14,0.45,2.39,4.53,0.25,1.29,1.06,1.3,0.84
TEMP_0,0.13,30.32,4.6,0.27,0.32,3.45,0.8,0.94,0.78,1.2
PRES_1,0.54,2.18,29.6,0.15,0.55,1.9,0.79,1.05,1.03,0.92
PRES_0,5.11,0.2,0.08,49.82,6.39,0.17,1.96,0.9,0.94,1.17
DEWP_1,2.85,0.4,0.52,1.96,47.95,0.09,5.5,0.61,0.82,1.25
DEWP_0,0.22,6.76,7.74,0.22,0.06,79.17,0.4,1.9,1.48,0.66
WSPM_0,1.02,0.98,0.95,1.04,1.21,0.82,4.96,0.61,0.85,1.15
WSPM_1,0.88,1.16,1.41,0.78,0.37,3.22,0.13,10.66,7.32,0.34
PM10_0,1.07,0.9,1.04,0.94,0.87,1.17,0.76,1.37,11.74,0.32
PM10_1,0.8,1.43,0.9,1.19,1.53,0.63,11.72,0.19,0.11,28.07
