,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.95,1.14,1.0,1.08,1.08,0.91,1.01,0.83,1.05,0.82
TEMP_0,1.38,0.91,1.31,0.92,1.06,1.24,1.11,0.99,1.19,0.94
PRES_0,0.96,0.97,0.96,1.26,1.05,0.89,0.98,0.84,1.04,0.79
PRES_1,1.32,1.0,1.64,0.89,1.09,1.42,1.16,0.97,1.22,1.02
DEWP_0,1.1,0.89,1.12,0.88,0.94,1.29,1.04,0.86,1.07,0.87
DEWP_1,1.05,1.16,1.09,1.18,1.46,0.92,1.08,0.93,1.16,0.88
WSPM_0,1.0,0.9,1.02,0.9,1.0,0.91,0.96,0.88,1.04,0.77
WSPM_1,1.18,1.11,1.22,1.08,1.16,1.21,1.23,0.91,1.2,1.07
PM10_0,0.97,0.88,1.0,0.87,0.96,0.92,0.95,0.81,0.97,0.9
PM10_1,1.27,1.19,1.3,1.21,1.29,1.2,1.27,1.04,1.51,0.88
