,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,3.25,2.04,2.39,1.13,0.37,0.43,0.36,1.55,0.74,1.06,0.57,0.63,0.4,0.55,0.49,0.72,0.61,1.57,0.64,1.46,0.79,1.23,0.86,1.16,1.01,0.93,0.48,1.36,4.75,0.39
E,2.04,2.66,1.32,2.11,0.5,0.39,0.5,0.92,1.31,0.8,0.58,0.5,0.7,0.92,0.45,0.7,0.61,1.47,0.64,1.42,0.98,0.97,1.09,0.92,1.27,0.76,,1.05,10.9,0.39
NE,2.02,1.2,3.54,0.79,0.44,0.67,0.31,1.94,0.64,1.2,0.54,0.72,0.29,0.35,0.52,0.78,0.7,1.28,0.69,1.19,0.62,1.54,0.67,1.48,0.82,1.15,0.44,1.17,2.91,0.45
ESE,1.26,2.2,0.8,2.87,0.57,0.24,0.75,0.76,2.27,0.59,0.54,0.4,1.16,1.42,0.45,0.67,0.65,1.49,0.67,1.42,1.31,0.77,1.26,0.8,1.57,0.65,,1.39,4.5,0.64
SW,0.36,0.45,0.35,0.57,6.14,0.43,3.83,0.32,0.85,0.27,2.82,0.3,2.07,1.34,0.68,1.35,1.75,0.69,1.7,0.76,1.71,0.64,1.3,0.79,1.15,0.93,,,0.76,2.06
NW,0.36,0.29,0.5,0.27,0.33,10.24,0.26,0.66,0.21,1.29,0.48,3.78,0.18,0.22,4.98,1.0,2.9,0.45,2.08,0.64,0.51,2.03,0.58,1.77,0.38,2.99,0.3,0.99,0.19,4.84
SSW,0.39,0.55,0.29,0.91,3.77,0.22,5.59,0.38,1.4,0.34,1.55,0.27,3.89,2.34,0.48,0.89,1.44,0.86,1.53,0.82,2.36,0.46,1.85,0.56,1.65,0.61,,,1.55,1.66
NNE,1.83,1.04,2.5,0.73,0.31,0.89,0.25,3.36,0.45,2.3,0.59,1.69,0.27,0.33,0.73,0.67,1.03,0.88,1.09,0.86,0.91,1.12,1.0,0.98,1.13,0.84,,1.66,1.53,0.63
SE,0.71,1.25,0.61,2.41,0.92,0.25,1.26,0.58,3.71,0.45,0.57,0.25,1.86,3.1,0.26,0.59,0.83,1.34,0.89,1.3,1.39,0.77,1.3,0.76,1.44,0.72,,1.2,5.15,0.77
N,1.02,0.72,1.49,0.5,0.33,1.61,0.28,2.4,0.35,4.03,0.47,3.25,0.36,0.4,1.05,0.62,1.14,0.81,1.26,0.8,0.74,1.35,0.8,1.21,0.79,1.26,0.69,,0.67,1.14
WSW,0.35,0.41,0.3,0.41,4.61,0.61,2.28,0.35,0.6,0.46,6.69,0.38,1.3,0.98,1.02,2.84,2.26,0.54,1.99,0.58,1.33,0.75,1.18,0.86,1.0,1.09,,,0.82,1.59
NNW,0.5,0.44,0.75,0.3,0.26,4.51,0.22,1.3,0.29,3.21,0.42,6.7,0.22,0.24,2.19,0.72,2.52,0.49,2.2,0.62,0.59,1.69,0.58,1.74,0.47,2.28,0.21,1.22,0.28,3.13
S,0.53,0.78,0.38,1.28,2.0,0.26,3.7,0.41,2.09,0.33,1.14,0.29,4.5,3.24,0.36,0.71,1.08,1.06,1.09,0.94,2.07,0.52,1.66,0.63,1.78,0.56,,,7.33,1.12
SSE,0.57,1.01,0.45,2.09,1.12,0.25,2.11,0.5,3.03,0.46,0.78,0.24,3.54,3.97,0.28,0.61,0.95,1.27,0.96,1.27,1.94,0.52,1.68,0.6,1.65,0.6,,,4.4,0.91
