,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.47,0.97,0.67,1.0,0.41,0.87,0.62,0.84,0.65,0.63
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.42,0.97,0.85,1.0,0.46,0.87,0.62,0.84,0.66,0.65
PRES_0,1.0,,1.08,0.27,1.0,0.21,0.87,0.56,0.85,0.59,0.51
DEWP_0,1.0,0.44,0.97,0.67,1.0,0.44,0.87,0.62,0.84,0.65,0.63
DEWP_1,1.0,,1.0,,1.0,0.06,0.93,,,0.63,
WSPM_0,1.0,0.37,0.97,0.6,1.0,0.31,0.86,0.67,0.87,0.6,0.54
WSPM_1,1.0,,0.97,1.06,1.0,,0.89,0.52,0.77,0.94,1.56
PM10_0,1.0,0.53,0.97,0.94,1.0,,0.87,0.58,0.77,0.74,1.23
PM10_1,1.0,0.3,0.98,0.48,1.0,0.28,0.86,0.72,0.96,0.55,0.49
PM10_2,1.0,,0.97,0.6,1.0,0.18,0.87,0.58,1.03,0.63,0.34
