,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.29,0.98,0.58,1.0,0.3,0.9,0.68,0.92,0.7
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.28,0.99,0.64,1.01,0.33,0.92,0.69,0.93,0.71
PRES_0,1.72,,1.72,0.71,1.72,0.36,1.57,1.02,1.62,1.11
DEWP_0,1.0,0.28,0.98,0.58,1.0,0.31,0.9,0.68,0.92,0.7
DEWP_1,3.29,,3.21,,3.28,0.49,3.17,,2.65,2.43
WSPM_0,1.06,0.26,1.04,0.56,1.06,0.24,0.96,0.73,0.98,0.67
WSPM_1,1.32,,1.29,1.05,1.31,,1.19,0.84,1.19,1.56
PM10_0,1.06,0.3,1.04,0.65,1.06,0.59,0.96,0.73,0.96,0.78
PM10_1,1.34,,1.31,0.7,1.34,0.23,1.22,0.78,1.28,0.83
