,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.53,1.01,0.84,1.0,0.7,1.05,1.12,1.02,1.0
TEMP_1,,,,,,,,,,
PRES_1,1.0,0.6,1.02,0.66,1.0,0.67,1.06,1.14,1.03,0.98
PRES_0,1.2,,1.04,2.22,1.2,1.23,1.3,1.04,1.18,1.51
DEWP_0,1.0,0.58,1.01,0.84,1.0,0.65,1.05,1.12,1.02,1.0
DEWP_1,1.5,,1.55,,1.5,5.34,1.66,,,2.32
WSPM_0,1.02,0.65,1.03,0.83,1.02,0.6,1.09,1.04,1.03,1.04
WSPM_1,1.1,,1.1,1.08,1.1,,1.11,1.47,1.15,1.16
PM10_0,1.02,0.61,1.03,0.81,1.02,0.95,1.07,1.24,1.09,0.83
PM10_1,1.1,,1.1,1.11,1.1,0.85,1.19,0.77,0.96,1.53
