,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.26,1.0,0.34,0.97,0.68,0.92,0.78,0.39
PRES_0,1.0,1.0,0.26,1.0,0.34,0.97,0.68,0.92,0.78,0.39
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.26,1.0,0.34,0.97,0.68,0.92,0.78,0.39
DEWP_0,3.0,3.0,,3.0,1.02,2.91,2.04,2.78,2.64,1.1
WSPM_0,1.03,1.03,0.36,1.03,0.33,1.0,0.7,0.95,0.79,0.39
WSPM_1,1.48,1.48,,1.48,0.55,1.43,1.0,1.35,1.26,0.71
PM10_0,1.08,1.08,0.28,1.08,0.4,1.05,0.75,1.0,0.84,0.46
PM10_1,1.28,1.28,,1.28,0.31,1.24,0.83,1.18,1.0,0.46
PM10_2,2.56,2.56,,2.56,,2.48,1.62,2.36,2.04,1.0
