,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.95,0.92,0.99,0.94,1.01,0.88,0.98,0.77,1.03,0.74
TEMP_0,1.16,0.9,1.19,0.91,1.03,1.14,1.09,0.86,1.15,0.84
PRES_0,0.93,0.88,0.96,0.98,0.98,0.86,0.96,0.75,1.01,0.7
PRES_1,1.2,0.94,1.29,0.89,1.07,1.24,1.13,0.89,1.19,0.91
DEWP_0,1.02,0.84,1.06,0.84,0.94,1.04,1.0,0.78,1.05,0.75
DEWP_1,1.04,1.03,1.08,1.08,1.17,0.92,1.07,0.84,1.11,0.81
WSPM_0,0.95,0.84,0.98,0.87,0.96,0.87,0.96,0.75,1.01,0.7
WSPM_1,1.15,1.01,1.21,0.98,1.11,1.14,1.14,0.89,1.19,0.92
PM10_0,0.94,0.82,0.97,0.82,0.92,0.88,0.93,0.73,0.97,0.72
PM10_1,1.2,1.1,1.26,1.13,1.25,1.14,1.23,0.97,1.33,0.87
