,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.27,1.0,0.47,1.11,2.27,1.17,1.41,1.23
PRES_0,1.0,1.0,0.16,1.0,0.47,1.11,2.27,1.17,1.41,1.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.28,1.0,0.31,1.11,2.27,1.17,1.41,1.22
DEWP_0,0.92,0.92,,0.82,35.36,1.0,2.97,1.22,1.4,
WSPM_0,1.0,1.0,0.32,1.0,0.33,1.11,2.13,1.17,1.41,1.25
WSPM_1,1.0,1.0,,1.0,1.29,1.11,3.11,1.17,1.44,1.09
PM10_0,1.0,1.0,0.41,1.0,0.63,1.11,2.4,1.3,1.07,0.7
PM10_1,1.0,1.0,,1.0,,1.11,1.99,0.95,2.24,2.05
PM10_2,1.0,1.0,,1.0,,1.12,1.93,0.66,2.29,18.26
