,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,,
PRES_1,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.01,1.0,0.99,1.0
PRES_0,1.0,,1.0,1.0,1.0,0.94,1.01,0.85,0.93,1.03,0.99
DEWP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEWP_1,1.0,,1.0,,1.0,1.0,1.06,,,0.93,
WSPM_0,1.0,0.98,1.0,0.94,1.0,0.86,1.0,1.0,1.01,0.98,0.94
WSPM_1,1.0,,1.0,1.3,1.0,,1.0,1.0,0.98,1.14,1.57
PM10_0,1.0,0.94,1.0,1.09,1.0,,0.99,1.02,1.0,0.99,1.25
PM10_1,1.0,,1.0,0.93,1.0,0.82,1.0,0.99,1.03,1.0,0.89
PM10_2,1.0,,0.99,1.04,1.0,0.83,1.01,0.78,0.82,1.01,1.0
