,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.11,1.0,0.2,1.02,0.98,0.99,0.9,0.38
PRES_0,1.0,1.0,0.09,1.0,0.2,1.02,0.98,0.99,0.9,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.11,1.0,0.16,1.02,0.98,0.99,0.9,0.38
DEWP_0,1.96,1.96,,1.86,3.61,1.96,2.18,2.06,1.88,
WSPM_0,1.02,1.02,0.13,1.02,0.17,1.04,0.96,1.01,0.91,0.39
WSPM_1,1.28,1.28,,1.28,0.45,1.3,1.46,1.25,1.21,0.45
PM10_0,1.05,1.05,0.15,1.05,0.25,1.07,1.07,1.1,0.82,0.32
PM10_1,1.16,1.16,,1.16,,1.19,1.02,1.04,1.32,0.56
PM10_2,1.81,1.81,,1.81,,1.84,1.54,1.29,2.13,2.66
