,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.37,0.98,0.64,1.0,0.37,0.92,0.74,0.94,0.77
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.34,0.99,0.77,1.01,0.41,0.94,0.76,0.95,0.79
PRES_0,1.72,,1.94,0.71,1.73,,1.6,1.24,1.7,1.13
DEWP_0,1.0,0.34,0.98,0.64,1.0,0.4,0.92,0.75,0.94,0.76
DEWP_1,3.29,,2.93,,3.36,0.5,3.17,,,2.43
WSPM_0,1.06,0.33,1.05,0.64,1.06,0.35,0.96,0.86,1.01,0.76
WSPM_1,1.31,,1.29,1.09,1.31,,1.29,0.86,1.19,1.66
PM10_0,1.06,0.33,1.04,0.73,1.06,,0.98,0.78,0.97,0.95
PM10_1,1.34,,1.32,0.75,1.34,0.33,1.23,1.01,1.46,0.84
