,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.71,19.3,1.88,0.8,0.92,3.61,1.29,1.28,1.25,1.27,1.77
TEMP_0,20.4,0.66,1.0,4.29,2.45,0.78,1.35,1.37,1.4,1.38,1.03
PRES_1,1.72,0.87,0.8,17.61,1.57,0.85,1.2,1.07,1.12,1.29,1.21
PRES_0,0.96,4.73,22.66,0.55,1.04,6.49,1.48,1.92,1.72,1.32,1.48
DEWP_1,0.87,2.21,1.61,0.82,0.76,28.66,1.12,2.3,1.42,1.0,1.15
DEWP_0,4.16,0.85,1.05,6.19,35.16,0.58,1.69,0.83,1.19,2.27,1.62
WSPM_0,1.07,1.06,1.08,1.03,0.98,1.24,0.96,2.83,1.18,0.95,0.92
WSPM_1,2.14,2.18,1.95,2.69,4.35,1.19,5.74,0.47,1.37,7.27,22.17
PM10_0,1.23,1.3,1.19,1.41,1.48,1.02,1.38,0.83,0.75,7.23,
PM10_1,1.52,1.56,1.68,1.32,1.26,2.38,1.39,4.16,8.98,0.6,3.92
PM10_2,3.61,2.02,2.66,2.59,2.5,2.9,2.3,16.58,,7.14,0.27
