,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.97,0.12,1.0,0.01,0.94,0.55,0.76,0.55,0.22
TEMP_1,,,,,,,,,,,
PRES_1,1.0,,1.0,0.06,1.0,0.01,0.94,0.56,0.78,0.53,0.2
PRES_0,1.0,,0.62,0.94,1.0,0.03,0.99,0.37,0.51,0.87,0.38
DEWP_0,1.0,,0.97,0.12,1.0,0.01,0.94,0.55,0.76,0.55,0.21
DEWP_1,1.0,,0.95,,1.0,0.74,1.0,,,0.68,
WSPM_0,1.0,0.01,0.97,0.13,1.0,0.01,0.99,0.42,0.7,0.62,0.24
WSPM_1,1.0,,0.97,0.11,1.0,,0.81,0.92,0.92,0.36,0.15
PM10_0,1.0,,0.98,0.08,1.0,,0.9,0.73,0.98,0.35,0.07
PM10_1,1.0,,0.95,0.18,1.0,0.01,0.99,0.33,0.56,0.93,0.23
PM10_2,1.0,,0.94,0.2,1.0,0.03,0.99,0.21,0.18,0.63,0.92
