,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,1.0,1.61,1.0,2.85,0.99,1.09,1.05,1.11,1.43
TEMP_1,,,,,,,,,,,
PRES_1,0.95,3.45,0.93,2.45,0.95,3.15,0.94,1.03,0.99,1.08,1.4
PRES_0,0.14,,0.2,0.07,0.14,,0.13,0.16,0.18,0.12,0.14
DEWP_0,1.0,3.76,1.0,1.62,1.0,3.41,0.99,1.09,1.05,1.11,1.43
DEWP_1,0.01,,0.01,,0.01,,0.01,,,0.01,
WSPM_0,0.8,2.54,0.8,1.18,0.8,1.93,0.75,1.1,0.9,0.8,1.0
WSPM_1,0.37,,0.36,0.83,0.37,,0.44,0.28,0.33,0.68,1.13
PM10_0,0.67,1.93,0.66,1.51,0.67,,0.68,0.63,0.6,1.07,3.72
PM10_1,0.4,,0.41,0.48,0.4,0.73,0.38,0.61,0.6,0.31,0.51
PM10_2,0.19,,0.2,0.25,0.19,0.26,0.18,0.28,0.42,0.22,0.12
