,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,266.03,1.0,99.74,1.21,9.56,1.57,3.86,91.94
PRES_0,1.0,1.0,217.27,1.0,99.77,1.21,9.56,1.57,3.86,91.97
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,266.33,1.0,86.48,1.21,9.55,1.57,3.86,91.25
DEWP_0,0.24,0.24,,0.24,193.46,0.29,2.51,0.39,1.05,50.34
WSPM_0,0.96,0.96,310.57,0.97,82.84,1.17,9.04,1.51,3.68,85.96
WSPM_1,0.62,0.62,,0.62,98.2,0.75,6.46,0.97,2.54,66.2
PM10_0,0.91,0.91,293.75,0.91,106.0,1.1,8.91,1.48,3.17,71.19
PM10_1,0.73,0.73,,0.74,38.99,0.89,6.5,1.09,3.37,81.72
PM10_2,0.31,0.31,,0.31,,0.37,2.74,0.44,1.45,94.13
