,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,16.22,0.23,2.93,0.41,0.54,2.18,0.88,1.23,1.04,1.04
TEMP_0,0.15,19.5,0.33,3.06,3.35,0.28,1.25,0.74,0.94,0.95
PRES_0,2.64,0.48,31.36,0.13,0.57,1.97,1.02,1.01,0.87,1.14
PRES_1,0.27,4.69,0.07,55.41,4.47,0.23,0.97,0.99,1.37,0.76
DEWP_0,0.48,2.2,0.48,2.17,29.73,0.14,0.74,1.28,1.18,0.91
DEWP_1,4.34,0.34,4.78,0.26,0.11,39.49,1.68,0.74,0.83,1.13
WSPM_0,0.86,1.22,1.02,0.99,0.81,1.15,3.88,0.54,0.82,1.07
WSPM_1,1.37,0.68,0.96,1.02,1.54,0.76,0.33,5.12,1.64,0.87
PM10_0,0.97,0.98,0.88,1.09,1.09,0.91,0.86,1.26,9.31,0.39
PM10_1,1.07,1.08,1.49,0.77,0.8,1.28,1.72,0.53,0.15,16.99
