,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.98,0.51,1.0,0.23,0.93,0.72,0.88,0.73,0.58
TEMP_1,,,,,,,,,,,
PRES_1,1.06,,1.01,1.34,1.05,0.29,0.98,0.75,0.91,0.8,0.63
PRES_0,7.39,,17.91,1.09,7.43,,6.49,6.42,9.11,4.17,3.14
DEWP_0,1.0,,0.98,0.52,1.0,,0.93,0.72,0.88,0.74,0.58
DEWP_1,79.44,,86.15,,,1.21,69.02,,,,
WSPM_0,1.26,,1.24,0.61,1.25,0.27,1.05,1.58,1.22,0.82,0.64
WSPM_1,2.73,,2.65,1.7,2.73,,4.46,1.15,1.94,3.79,3.45
PM10_0,1.49,,1.44,1.13,1.49,,1.51,0.89,1.03,2.55,
PM10_1,2.52,,2.55,0.96,2.52,,2.11,3.0,5.18,1.09,2.27
PM10_2,5.18,,5.25,2.0,5.2,,4.33,6.29,,6.06,1.07
