,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.13,0.74,1.06,0.63,0.85,1.03,1.11,1.11,1.0,1.06,0.66
TEMP_0,0.79,1.23,0.84,1.07,1.14,0.6,1.16,1.14,1.07,1.06,0.76
PRES_0,1.08,0.8,1.11,0.48,0.86,1.0,1.1,1.1,0.98,1.05,0.68
PRES_1,0.84,1.21,0.62,1.29,1.17,0.59,1.17,1.17,1.12,1.06,0.74
DEWP_0,0.9,1.1,0.86,0.98,1.15,0.54,1.11,1.13,1.04,1.01,0.72
DEWP_1,1.16,0.72,1.14,0.54,0.66,1.22,1.16,1.13,1.02,1.13,0.68
WSPM_0,0.97,0.92,0.96,0.8,0.92,0.87,1.11,1.05,0.98,1.03,0.66
WSPM_1,1.09,1.0,1.03,0.86,1.06,0.94,1.16,1.26,1.13,1.11,0.77
PM10_0,1.0,0.98,0.96,0.88,1.01,0.87,1.13,1.19,1.18,0.94,0.6
PM10_1,1.06,0.94,1.02,0.79,0.95,0.93,1.16,1.14,0.98,1.22,0.64
PM10_2,1.28,1.25,1.39,0.98,1.22,1.23,1.44,1.12,0.51,1.35,1.74
