,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.5,0.98,0.79,0.95,0.86,0.55
PRES_0,1.0,1.0,,1.0,0.5,0.98,0.79,0.95,0.86,0.55
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.98,0.79,0.95,0.86,0.55
DEWP_0,7.79,7.78,,,0.28,11.17,3.01,6.12,,
WSPM_0,1.06,1.06,,1.06,0.8,1.0,1.1,1.02,0.88,0.62
WSPM_1,2.06,2.06,,2.08,0.5,2.68,0.86,1.84,2.17,
PM10_0,1.16,1.16,,1.16,0.5,1.14,0.89,0.94,2.06,
PM10_1,1.59,1.59,,1.59,,1.55,1.31,3.16,0.81,0.81
PM10_2,5.89,5.89,,5.87,,5.34,,,4.84,0.4
