,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.44,1.04,1.24,1.04,1.05,0.72
PRES_0,1.0,1.0,,1.0,0.44,1.04,1.24,1.04,1.05,0.72
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,1.0,0.33,1.04,1.23,1.04,1.05,0.73
DEWP_0,1.56,1.56,,1.45,6.51,1.53,2.22,1.74,1.72,
WSPM_0,1.01,1.01,0.34,1.01,0.35,1.05,1.2,1.05,1.06,0.75
WSPM_1,1.16,1.16,,1.16,0.91,1.2,1.75,1.19,1.26,0.67
PM10_0,1.03,1.03,0.38,1.03,0.54,1.07,1.33,1.14,0.92,0.58
PM10_1,1.09,1.09,,1.1,,1.14,1.2,1.0,1.49,0.99
PM10_2,1.43,1.43,,1.43,,1.49,1.65,0.97,2.03,4.23
