,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1128959546.63,1.01,19802626.64,1.73,737.76,3.84,62.75,3837564.32
PRES_0,1.0,1.0,921269141.04,1.01,19791402.57,1.73,736.49,3.84,62.71,3835389.2
PRES_1,,,,,,,,,,
DEWP_1,0.99,1.0,1126461916.3,1.01,17112069.37,1.72,734.44,3.83,62.46,3795942.62
DEWP_0,,,,,658411.65,0.01,3.32,0.02,0.29,36018.78
WSPM_0,0.85,0.86,1171936183.81,0.87,14625405.54,1.48,620.21,3.29,53.09,3190248.82
WSPM_1,0.15,0.15,,0.15,4580049.48,0.25,116.99,0.56,9.71,649081.48
PM10_0,0.67,0.67,925960747.39,0.68,15632597.75,1.16,510.43,2.68,38.26,2207211.47
PM10_1,0.29,0.29,,0.29,3056261.85,0.5,197.9,1.05,21.64,1346800.96
PM10_2,0.01,0.01,,0.01,,0.02,6.08,0.03,0.68,113260.07
