,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.01,11359047.6,1.6,328.19,3.28,41.15,1447813.73
PRES_0,1.0,1.0,,1.01,11352609.32,1.6,328.01,3.28,41.13,1446993.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.01,,1.59,324.31,3.27,41.04,1444610.69
DEWP_0,,,,,697501.13,,3.02,0.02,,
WSPM_0,0.85,0.86,,0.87,6642214.18,1.42,211.5,2.79,35.47,1338472.38
WSPM_1,0.14,0.15,,0.15,3350548.92,0.17,89.61,0.49,5.7,
PM10_0,0.67,0.67,,0.68,9253061.15,1.06,235.76,2.59,13.27,
PM10_1,0.29,0.29,,0.29,,0.48,77.45,0.46,20.17,436842.35
PM10_2,0.01,0.01,,0.01,,0.01,,,0.39,103391.82
