,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.14,0.99,0.51,1.0,0.23,0.98,0.82,0.96,0.73
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.17,1.01,0.37,1.01,0.23,0.99,0.84,0.97,0.72
PRES_0,1.43,,1.09,1.75,1.44,,1.46,0.94,1.26,1.31
DEWP_0,1.0,0.17,0.99,0.51,1.0,0.21,0.98,0.82,0.96,0.73
DEWP_1,2.2,,1.82,,2.1,3.1,2.33,,,2.72
WSPM_0,1.04,0.19,1.03,0.53,1.04,0.23,1.06,0.72,0.98,0.8
WSPM_1,1.2,,1.19,0.64,1.2,,1.04,1.29,1.2,0.79
PM10_0,1.04,0.18,1.04,0.48,1.04,,1.0,0.93,1.06,0.55
PM10_1,1.21,,1.18,0.78,1.22,0.36,1.25,0.59,0.86,1.34
