,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.3,0.86,0.18,0.71,0.4,0.11
PRES_0,1.0,1.0,0.42,1.0,0.3,0.86,0.18,0.71,0.39,0.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,1.0,0.37,0.86,0.18,0.71,0.4,0.12
DEWP_0,11.0,10.99,,10.96,0.06,9.41,1.59,7.4,4.3,0.13
WSPM_0,1.07,1.07,0.51,1.06,0.38,0.91,0.19,0.76,0.41,0.12
WSPM_1,2.19,2.18,,2.18,0.32,1.87,0.34,1.52,1.0,0.3
PM10_0,1.18,1.18,0.24,1.17,0.31,1.01,0.21,0.8,0.53,0.24
PM10_1,1.64,1.64,,1.63,0.58,1.4,0.29,1.25,0.49,0.1
PM10_2,6.63,6.62,,6.6,,5.67,1.19,5.27,2.0,0.08
