,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.42,0.22,0.66,1.15,1.19,0.27,1.05,0.96,0.98,0.93,0.41
TEMP_0,0.23,1.53,1.18,0.28,0.5,1.26,1.03,0.88,0.9,0.9,0.71
PRES_1,0.64,1.12,1.27,0.17,0.68,1.02,1.03,0.95,0.97,0.86,0.56
PRES_0,1.29,0.29,0.21,1.84,1.23,0.19,1.07,0.85,0.88,1.03,0.54
DEWP_1,1.18,0.49,0.71,1.06,1.32,0.11,1.09,0.63,0.85,1.08,0.58
DEWP_0,0.36,1.39,1.22,0.23,0.13,1.75,0.96,1.38,1.1,0.65,0.5
WSPM_0,0.87,0.82,0.89,0.77,0.92,0.65,1.09,0.63,0.89,0.99,0.62
WSPM_1,0.82,0.89,0.99,0.64,0.54,1.24,0.77,2.57,1.27,0.49,0.17
PM10_0,0.87,0.81,0.94,0.66,0.76,0.89,1.0,1.37,1.37,0.42,0.06
PM10_1,0.9,0.83,0.85,0.86,1.03,0.51,1.09,0.39,0.49,1.77,0.5
PM10_2,0.67,1.06,0.92,0.82,0.88,0.66,1.09,0.11,0.03,0.84,3.87
