,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.5,1.0,0.22,0.97,0.8,0.95,0.72
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.17,1.01,0.35,1.01,0.21,0.98,0.82,0.96,0.71
PRES_0,1.43,,1.05,1.74,1.44,,1.45,0.94,1.24,1.29
DEWP_0,1.0,0.16,0.99,0.5,1.0,0.19,0.97,0.8,0.95,0.72
DEWP_1,2.2,,1.72,,2.05,3.1,2.33,,,2.72
WSPM_0,1.04,0.18,1.03,0.53,1.04,0.22,1.06,0.69,0.97,0.79
WSPM_1,1.2,,1.19,0.6,1.2,,1.0,1.28,1.2,0.74
PM10_0,1.04,0.17,1.03,0.46,1.04,,0.99,0.91,1.06,0.52
PM10_1,1.21,,1.17,0.78,1.22,0.35,1.25,0.56,0.82,1.33
