,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.3,1.21,1.16,1.06,0.7,0.69,0.83,0.93,0.7,0.83,0.76,0.83,0.79,0.75,0.68,0.66,1.29,0.8,1.3,0.88,1.33,1.33,,1.33,,1.33,0.4,1.34,0.87
ENE,1.23,1.31,0.98,1.23,0.71,0.64,1.0,0.76,0.57,0.64,0.78,0.99,0.79,0.7,0.78,0.9,1.31,0.8,1.33,0.83,1.34,1.34,,1.34,,1.34,0.45,1.36,0.83
ESE,1.34,1.26,1.31,0.9,0.74,0.77,0.86,1.12,0.96,0.88,0.62,0.83,0.57,0.58,0.78,0.72,1.31,0.95,1.34,0.93,1.38,1.38,,1.38,,1.38,0.38,1.39,1.04
NE,1.12,1.3,0.99,1.38,0.66,0.81,1.21,0.73,0.6,0.54,0.91,1.07,0.77,0.84,0.81,1.02,1.39,0.71,1.4,0.8,1.4,1.4,,1.4,,1.4,0.45,1.41,0.8
SSW,1.05,0.76,1.06,0.66,1.45,1.37,0.63,1.08,1.37,1.18,0.91,0.62,0.46,0.41,0.5,0.63,1.39,0.9,1.42,0.87,1.42,1.42,,1.42,,1.42,,1.41,1.35
SW,0.96,0.95,1.02,0.68,1.39,1.44,0.63,0.97,1.3,1.18,1.13,0.49,0.54,0.55,0.77,0.65,1.4,0.83,1.42,0.76,1.43,1.43,,1.43,,1.43,,1.42,1.36
NNE,1.17,1.36,0.89,1.41,0.49,0.66,1.44,0.6,0.41,0.44,0.89,1.28,0.87,1.2,0.8,0.88,1.44,0.75,1.45,0.81,1.46,1.46,,1.46,,1.46,,1.48,0.86
SE,1.35,1.1,1.39,0.96,0.89,0.88,1.08,1.37,1.05,1.24,0.73,0.84,0.66,0.53,0.44,0.78,1.4,1.04,1.41,1.03,1.47,1.47,,1.47,,1.47,,1.48,1.24
S,1.21,1.12,1.23,0.72,1.36,1.19,0.84,1.23,1.41,1.25,0.91,0.61,0.61,,0.47,0.58,1.4,1.0,1.44,0.91,1.47,1.47,,1.47,,1.47,,1.49,1.33
SSE,1.24,1.03,1.45,0.92,1.16,0.96,0.95,1.42,1.28,1.42,0.69,0.83,0.55,0.55,0.61,0.71,1.41,0.99,1.44,0.98,1.49,1.49,,1.49,,1.49,,1.51,1.26
WSW,0.96,0.86,0.91,0.78,1.38,1.47,0.54,1.01,1.27,1.33,1.46,0.69,0.75,0.47,0.77,1.01,1.48,0.77,1.48,0.76,1.49,1.49,,1.49,,1.49,,1.49,1.36
N,1.12,1.31,0.87,1.24,0.86,0.98,1.33,0.67,0.83,0.64,0.93,1.4,0.93,1.15,0.91,0.75,1.47,0.87,1.49,0.92,1.5,1.5,,1.5,,1.5,,1.5,0.85
NW,0.85,1.13,1.02,1.15,0.94,0.78,1.12,0.62,0.79,0.78,0.99,1.15,1.58,1.49,1.39,0.89,1.54,0.92,1.55,0.92,1.56,1.55,,1.55,,1.56,,1.53,1.52
NNW,1.26,1.29,1.16,1.27,0.71,0.85,1.23,0.85,,0.6,0.91,1.39,1.48,1.49,1.29,0.95,1.57,1.07,1.59,1.12,1.6,1.6,,1.6,,1.6,,1.57,1.33
WNW,0.93,1.08,1.03,1.06,1.04,1.06,1.18,0.93,1.04,0.75,1.23,1.16,1.52,1.21,1.41,1.41,1.63,0.93,1.64,0.88,1.64,1.64,,1.63,,1.64,,1.64,1.39
W,1.09,0.8,1.08,0.62,1.51,1.58,0.8,0.99,1.3,1.12,1.68,1.0,1.27,0.84,1.09,1.36,1.65,0.76,1.65,0.96,1.64,1.64,,1.64,,1.64,,1.65,1.58
PM2.5_0,0.82,0.83,0.76,0.77,0.72,0.72,0.71,0.68,0.7,0.66,0.67,0.69,0.62,0.62,0.59,0.58,1.03,0.46,1.03,0.5,1.02,1.02,0.15,1.02,0.24,1.02,0.33,1.03,0.82
PM2.5_1,1.28,1.16,1.29,0.93,0.86,0.74,0.83,1.08,0.88,1.01,0.7,0.74,0.34,0.38,0.52,0.61,1.03,1.53,1.17,1.49,1.34,1.34,,1.34,,1.34,,1.36,0.76
PM10_0,0.83,0.83,0.77,0.76,0.7,0.71,0.7,0.68,0.68,0.65,0.66,0.69,0.61,0.6,0.58,0.58,1.02,0.53,1.03,0.52,1.02,1.02,0.14,1.02,0.23,1.02,0.32,1.02,0.81
PM10_1,1.28,1.14,1.25,0.93,1.0,0.91,0.81,1.15,1.02,1.09,0.77,0.69,0.35,0.42,0.49,0.51,1.12,1.41,1.18,1.55,1.38,1.38,,1.38,,1.38,,1.39,0.84
TEMP_1,0.82,0.81,0.78,0.74,0.7,0.69,0.68,0.69,0.68,0.66,0.64,0.66,0.58,0.57,0.56,0.56,0.97,0.6,0.99,0.61,1.0,1.0,0.14,1.0,0.21,1.0,0.29,1.0,0.78
PRES_0,0.83,0.81,0.78,0.74,0.7,0.69,0.68,0.69,0.68,0.66,0.64,0.66,0.58,0.57,0.56,0.56,0.97,0.6,0.99,0.61,1.0,1.0,,1.0,0.21,1.0,0.29,1.0,0.78
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.83,0.82,0.78,0.74,0.7,0.69,0.68,0.69,0.68,0.66,0.64,0.66,0.58,0.56,0.56,0.56,0.97,0.6,0.99,0.61,1.0,1.0,0.14,1.0,0.15,1.0,0.3,1.01,0.78
DEWP_0,1.73,,,,,,,,,,,,1.91,2.8,,,2.2,,2.19,,2.17,2.17,,1.81,3.2,2.17,,1.84,2.12
RAIN_0,0.83,0.81,0.78,0.74,0.7,0.69,0.68,0.69,0.68,0.66,0.64,0.66,0.58,0.57,0.56,0.56,0.97,0.6,0.99,0.61,1.0,1.0,0.14,1.0,0.21,1.0,0.28,1.01,0.78
RAIN_1,,1.89,,1.87,,,,,,,,,,,,,1.99,,2.03,,2.09,2.09,,2.09,,2.02,2.26,1.93,2.66
WSPM_0,0.86,0.84,0.8,0.76,0.7,0.7,0.7,0.71,0.7,0.67,0.65,0.67,0.57,0.56,0.55,0.58,0.99,0.6,1.01,0.62,1.02,1.02,0.15,1.02,0.15,1.02,0.31,1.03,0.73
WSPM_1,0.95,0.98,0.93,0.99,0.99,0.98,0.9,0.79,0.89,0.91,0.79,0.91,0.9,0.9,0.82,0.62,1.26,0.94,1.28,0.83,1.3,1.3,,1.3,0.51,1.3,0.35,1.26,1.35
