,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.21,0.77,0.23,0.52,0.23,0.53,0.18,0.5,0.24,0.37,2.01
TEMP_0,0.44,0.15,0.33,0.15,0.36,0.15,0.12,0.34,0.16,0.25,0.84
PRES_0,0.2,0.5,0.19,0.78,0.21,0.44,0.16,0.46,0.22,0.32,1.58
PRES_1,0.33,0.18,0.58,0.16,0.35,0.18,0.13,0.37,0.18,0.29,1.04
DEWP_1,0.2,0.53,0.21,0.44,0.19,0.85,0.16,0.49,0.22,0.32,1.65
DEWP_0,0.34,0.18,0.33,0.18,0.66,0.16,0.14,0.35,0.18,0.29,1.01
WSPM_0,0.84,0.99,0.88,0.96,0.86,1.0,0.54,1.87,0.78,1.1,4.44
WSPM_1,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.17
PM10_0,0.33,0.39,0.35,0.37,0.35,0.37,0.22,0.57,0.25,0.62,6.96
PM10_1,0.07,0.08,0.07,0.08,0.07,0.08,0.04,0.14,0.09,0.07,0.36
PM10_2,,,,,,,,,,,
