,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.99,0.28,0.92,0.42,0.93,0.41,1.06,0.52,0.86,0.64,0.17
TEMP_0,0.32,0.99,0.43,0.95,0.39,0.95,1.08,0.53,0.85,0.64,0.27
PRES_0,0.96,0.39,0.99,0.25,0.92,0.45,1.08,0.52,0.85,0.66,0.19
PRES_1,0.48,0.92,0.27,0.99,0.46,0.91,1.07,0.53,0.86,0.62,0.25
DEWP_1,0.97,0.37,0.92,0.43,1.0,0.23,1.09,0.47,0.85,0.66,0.18
DEWP_0,0.46,0.93,0.48,0.92,0.24,1.0,1.05,0.58,0.87,0.61,0.26
WSPM_0,0.69,0.62,0.67,0.63,0.68,0.6,0.99,0.39,0.75,0.58,0.2
WSPM_1,0.93,0.87,0.89,0.9,0.79,1.0,1.15,0.92,1.13,0.74,0.25
PM10_0,0.75,0.66,0.71,0.69,0.71,0.69,1.02,0.58,0.98,0.44,0.1
PM10_1,0.87,0.76,0.86,0.75,0.85,0.74,1.21,0.48,0.71,0.96,0.22
PM10_2,0.95,1.35,1.07,1.29,0.99,1.3,1.76,0.49,0.35,0.99,0.94
