,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,2440.51,1.12,27.45,1.0,1478.27,1.75,8.63,2.28,6.94,18.77
TEMP_1,,,,,,,,,,,
PRES_1,1.0,3274.19,1.15,14.84,1.0,1277.03,1.75,8.82,2.33,6.69,17.69
PRES_0,1.0,,0.77,196.08,1.01,4149.5,1.83,5.94,1.6,10.49,32.96
DEWP_0,1.0,3055.81,1.12,27.18,1.0,1227.97,1.75,8.64,2.29,6.95,18.69
DEWP_1,1.0,,1.16,,1.01,86184.0,1.83,,,8.05,
WSPM_0,1.0,3988.48,1.12,27.96,1.0,1292.29,1.82,6.85,2.13,7.73,20.68
WSPM_1,1.0,,1.13,25.9,1.01,,1.57,13.63,2.69,4.75,13.31
PM10_0,1.0,2773.52,1.14,19.2,1.0,,1.7,11.22,2.86,4.72,6.83
PM10_1,1.0,4876.72,1.1,38.69,1.0,1729.14,1.82,5.48,1.78,11.09,20.13
PM10_2,1.0,,1.1,43.07,1.0,3559.07,1.81,3.28,0.66,7.99,74.85
