,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.01,0.99,0.17,1.0,0.02,0.98,0.74,0.86,0.74,0.32
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.01,1.0,0.12,1.0,0.02,0.98,0.75,0.87,0.72,0.31
PRES_0,1.0,,0.89,0.95,1.0,0.06,1.0,0.59,0.77,0.96,0.47
DEWP_0,1.0,0.01,0.99,0.17,1.0,0.02,0.98,0.74,0.86,0.74,0.32
DEWP_1,1.0,,1.0,,1.0,0.74,1.0,,0.74,0.89,
WSPM_0,0.99,0.01,0.99,0.17,0.99,0.02,0.99,0.66,0.83,0.78,0.34
WSPM_1,1.0,,0.99,0.19,1.0,,0.95,0.97,0.95,0.62,0.27
PM10_0,1.0,0.01,0.99,0.15,1.0,0.02,0.97,0.9,0.99,0.61,0.18
PM10_1,1.0,0.01,0.99,0.21,1.0,0.02,0.99,0.57,0.82,0.96,0.35
PM10_2,1.0,,0.98,0.22,1.0,0.03,1.0,0.32,0.38,0.85,0.94
