,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.28,0.62,1.21,0.61,0.79,1.37,1.01,1.02,1.01,1.02
TEMP_0,0.57,1.57,0.68,1.6,1.31,0.44,0.99,0.97,0.99,0.96
PRES_0,1.2,0.76,1.33,0.36,0.83,1.32,1.01,1.01,0.99,1.05
PRES_1,0.63,1.46,0.37,2.21,1.33,0.39,0.99,0.99,1.02,0.9
DEWP_0,0.81,1.35,0.79,1.45,1.43,0.39,0.98,1.02,1.01,0.97
DEWP_1,1.25,0.55,1.27,0.43,0.45,1.78,1.02,0.98,0.99,1.04
WSPM_0,0.99,1.0,1.01,1.0,0.96,1.03,1.02,0.93,0.98,1.02
WSPM_1,1.02,1.0,0.98,1.0,1.08,0.95,0.96,1.13,1.04,0.96
PM10_0,0.99,0.98,0.97,1.03,1.02,0.97,0.99,1.05,1.09,0.71
PM10_1,1.03,1.05,1.1,0.91,0.96,1.07,1.02,0.85,0.74,1.82
