,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,1.15,206.95,1.0,116604.28,1.83,14.58,2.91,11.73,80.53
TEMP_1,,,,,,,,,,,
PRES_1,0.87,,1.0,179.66,0.87,105045.57,1.59,12.66,2.52,10.16,70.02
PRES_0,,,0.01,1.0,,,0.01,0.07,0.01,0.06,0.38
DEWP_0,1.0,,1.15,206.02,1.0,,1.82,14.53,2.9,11.69,80.14
DEWP_1,,,,,,1.0,,,,,
WSPM_0,0.55,,0.63,113.13,0.55,63742.96,1.0,7.97,1.6,6.38,43.6
WSPM_1,0.07,,0.08,14.19,0.07,,0.13,1.0,0.2,0.86,6.27
PM10_0,0.34,,0.4,72.92,0.35,,0.62,5.08,1.0,4.02,
PM10_1,0.09,,0.1,17.37,0.09,,0.16,1.17,0.25,1.0,6.78
PM10_2,0.01,,0.01,2.6,0.01,,0.02,0.16,,0.15,1.0
