,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.24,0.98,0.54,1.0,0.26,0.9,0.67,0.92,0.69
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.23,0.99,0.63,1.02,0.28,0.92,0.69,0.93,0.71
PRES_0,2.05,,2.17,0.75,2.05,0.41,1.85,1.2,1.94,1.26
DEWP_0,1.0,0.23,0.98,0.54,1.0,0.27,0.9,0.67,0.92,0.69
DEWP_1,4.83,,4.86,,4.83,0.56,4.6,,,3.35
WSPM_0,1.08,0.23,1.06,0.54,1.08,0.23,0.97,0.76,1.01,0.68
WSPM_1,1.44,,1.4,1.12,1.44,,1.32,0.88,1.28,1.75
PM10_0,1.08,0.24,1.06,0.64,1.08,0.69,0.97,0.72,0.97,0.82
PM10_1,1.48,,1.44,0.7,1.47,0.24,1.33,0.91,1.47,0.86
