,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.93,1.09,1.09,0.86,1.0,1.04,1.12,0.62,1.07,0.81
TEMP_0,1.16,0.92,1.06,1.03,1.2,0.91,1.16,0.68,1.13,0.8
PRES_1,0.98,0.87,0.96,1.01,1.04,0.85,1.06,0.62,1.02,0.76
PRES_0,1.05,1.29,1.34,0.89,1.13,1.27,1.25,0.67,1.21,0.87
DEWP_1,0.91,1.02,1.05,0.82,0.95,1.1,1.07,0.6,1.04,0.74
DEWP_0,1.22,0.97,1.11,1.22,1.44,0.9,1.23,0.71,1.18,0.9
WSPM_0,0.87,0.87,0.94,0.78,0.91,0.86,0.98,0.57,0.95,0.67
WSPM_1,1.48,1.28,1.46,1.53,1.73,1.2,1.6,0.83,1.51,1.82
PM10_0,0.91,0.88,0.97,0.85,0.98,0.86,1.02,0.59,0.97,0.77
PM10_1,1.24,1.21,1.31,1.06,1.27,1.18,1.39,0.66,1.43,0.86
