,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.77,0.75,0.69,0.72,0.72,0.69,0.66,0.64,0.65,0.62,0.67,0.64,0.63,0.58,0.56,0.55,1.46,0.87,1.47,0.83,1.54,1.54,,1.53,0.58,1.53,0.37,1.46,0.83
ENE,0.79,0.76,0.72,0.7,0.72,0.7,0.63,0.67,0.66,0.67,0.65,0.64,0.61,0.56,0.56,0.55,1.47,0.9,1.49,0.82,1.56,1.56,,1.56,,1.56,0.4,1.48,0.87
ESE,0.82,0.81,0.74,0.76,0.75,0.74,0.73,0.68,0.68,0.65,0.71,0.68,0.62,0.62,0.62,0.55,1.57,0.89,1.57,0.84,1.62,1.62,,1.62,,1.62,0.41,1.54,0.88
NE,0.83,0.81,0.79,0.74,0.8,0.77,0.68,0.69,0.69,0.68,0.7,0.67,0.72,0.63,0.67,0.64,1.59,1.03,1.6,0.97,1.67,1.67,,1.67,,1.67,0.48,1.58,0.93
SSW,0.9,0.88,0.82,0.86,0.73,0.73,0.81,0.72,0.71,0.7,0.69,0.72,0.66,0.63,0.59,0.57,1.62,0.91,1.64,0.89,1.71,1.71,,1.7,,1.7,0.28,1.62,0.9
SW,0.87,0.89,0.82,0.81,0.74,0.73,0.75,0.76,0.74,0.76,0.67,0.71,0.66,0.63,0.59,0.57,1.63,0.96,1.64,0.87,1.72,1.72,,1.71,,1.71,0.39,1.63,0.92
NNE,0.87,0.85,0.83,0.78,0.84,0.83,0.72,0.73,0.76,0.75,0.76,0.72,0.73,0.67,0.61,0.6,1.69,1.23,1.71,1.06,1.78,1.78,,1.77,,1.77,0.57,1.69,1.0
SE,0.89,0.87,0.82,0.85,0.79,0.8,0.88,0.72,0.75,0.7,0.76,0.8,0.75,0.75,0.61,0.62,1.68,0.96,1.7,0.88,1.78,1.78,,1.78,,1.78,0.45,1.69,0.97
S,0.91,0.94,0.85,0.89,0.77,0.77,0.88,0.75,0.72,0.69,0.77,0.76,0.81,0.77,0.69,0.64,1.7,0.95,1.72,0.9,1.79,1.79,,1.78,,1.78,0.47,1.7,0.95
SSE,0.93,0.92,0.88,0.93,0.82,0.8,0.88,0.74,0.75,0.71,0.77,0.76,0.76,0.72,0.72,0.67,1.74,0.96,1.76,0.9,1.83,1.83,,1.82,,1.82,0.54,1.73,0.98
WSW,0.95,0.9,0.9,0.82,0.82,0.79,0.77,0.86,0.82,0.81,0.71,0.77,0.75,0.72,0.63,0.65,1.73,1.17,1.75,0.96,1.83,1.83,,1.83,,1.83,0.55,1.74,0.98
N,0.94,0.9,0.87,0.85,0.89,0.89,0.75,0.79,0.79,0.81,0.79,0.72,0.73,0.66,0.67,0.63,1.76,1.22,1.77,1.05,1.85,1.85,,1.85,,1.85,0.65,1.76,1.03
NW,0.95,0.93,0.96,0.83,0.99,0.98,0.76,0.85,0.94,0.9,0.83,0.77,0.69,0.68,0.63,0.65,1.86,2.53,1.88,1.63,1.96,1.96,,1.95,,1.95,0.78,1.86,1.05
NNW,1.03,1.0,1.06,0.91,1.08,1.06,0.84,0.87,0.98,0.93,0.86,0.77,0.73,0.7,0.64,0.66,1.97,2.09,1.98,1.52,2.06,2.06,,2.06,0.48,2.06,0.8,1.96,1.13
WNW,1.11,1.02,1.07,0.9,1.03,0.96,0.89,1.09,1.02,0.92,0.84,0.82,0.76,0.71,0.69,0.75,1.99,1.76,2.02,1.5,2.11,2.11,,2.1,,2.11,0.65,2.0,1.13
W,1.08,1.05,1.01,0.93,0.99,1.0,0.91,0.9,0.93,0.86,0.86,0.87,0.87,0.75,0.71,0.7,2.01,1.54,2.03,1.23,2.12,2.11,,2.11,,2.11,0.58,2.01,1.18
PM2.5_0,0.52,0.51,0.49,0.48,0.47,0.46,0.44,0.43,0.44,0.43,0.43,0.43,0.42,0.4,0.38,0.36,0.98,0.64,0.99,0.58,1.03,1.03,0.31,1.03,0.37,1.03,0.3,0.98,0.56
PM2.5_1,0.8,0.76,0.74,0.72,0.73,0.74,0.64,0.75,0.73,0.65,0.69,0.58,0.41,0.45,0.46,0.57,1.49,0.76,1.5,0.73,1.56,1.56,,1.55,,1.55,0.3,1.48,0.8
PM10_0,0.52,0.51,0.48,0.47,0.47,0.46,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.39,0.37,0.36,0.97,0.63,0.98,0.57,1.03,1.03,0.31,1.03,0.38,1.03,0.3,0.98,0.56
PM10_1,0.81,0.78,0.75,0.76,0.75,0.75,0.69,0.73,0.77,0.68,0.76,0.64,0.44,0.5,0.48,0.59,1.56,0.78,1.56,0.74,1.62,1.62,,1.62,0.61,1.62,0.27,1.53,0.83
TEMP_1,0.51,0.49,0.47,0.46,0.46,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.4,0.37,0.36,0.35,0.95,0.59,0.96,0.54,1.0,1.0,0.31,1.0,0.37,1.0,0.27,0.95,0.54
PRES_0,0.51,0.49,0.47,0.46,0.46,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.4,0.37,0.36,0.35,0.95,0.59,0.96,0.54,1.0,1.0,0.33,1.0,0.37,1.0,0.27,0.95,0.54
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.51,0.49,0.47,0.46,0.46,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.4,0.37,0.36,0.35,0.95,0.59,0.96,0.54,1.0,1.0,0.31,1.0,0.39,1.0,0.27,0.95,0.54
