,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.0,0.91,1.02,0.87,0.99,0.93,1.02,0.88,1.05,0.82
TEMP_0,1.07,1.0,1.1,0.98,1.07,0.98,1.11,0.96,1.15,0.91
PRES_0,0.98,0.9,1.0,0.87,0.97,0.91,1.01,0.87,1.03,0.79
PRES_1,1.11,1.02,1.12,1.0,1.1,1.04,1.15,0.99,1.18,0.97
DEWP_0,1.0,0.92,1.02,0.89,1.0,0.92,1.03,0.89,1.06,0.84
DEWP_1,1.08,0.99,1.1,0.95,1.06,1.0,1.1,0.95,1.12,0.89
WSPM_0,0.97,0.89,0.98,0.88,0.97,0.89,1.0,0.86,1.03,0.79
WSPM_1,1.14,1.03,1.18,0.96,1.11,1.1,1.16,1.0,1.18,0.99
PM10_0,0.96,0.87,0.97,0.84,0.94,0.89,0.98,0.84,1.0,0.78
PM10_1,1.19,1.12,1.23,1.09,1.22,1.11,1.24,1.06,1.27,1.0
