,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,2.65,0.25,1.95,1.36,1.27,3.11,1.39,3.41,2.01,2.48,10.79
TEMP_0,0.16,5.94,0.88,5.25,2.56,1.0,1.72,2.16,2.21,2.16,12.93
PRES_0,2.13,1.43,2.28,0.15,1.3,3.06,1.51,2.95,1.89,2.55,13.12
PRES_1,0.75,4.58,0.08,8.15,2.7,0.78,1.54,2.85,2.48,1.98,8.83
DEWP_0,1.18,3.61,1.11,4.42,3.08,0.16,1.37,3.47,2.4,2.03,10.33
DEWP_1,2.27,1.12,2.06,0.98,0.13,4.96,1.72,2.21,1.7,2.77,13.31
WSPM_0,1.5,2.88,1.52,2.92,1.61,2.55,2.0,1.15,1.91,2.52,13.37
WSPM_1,1.96,1.82,1.53,2.88,2.11,1.74,0.6,6.3,2.44,2.05,8.33
PM10_0,1.6,2.66,1.37,3.47,2.05,1.84,1.38,3.44,3.89,0.56,
PM10_1,1.74,2.32,1.66,2.42,1.54,2.67,1.63,2.5,0.49,4.67,5.32
PM10_2,1.56,2.73,1.73,2.15,1.55,2.65,1.78,1.96,,1.05,106.76
