,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.98,0.55,1.0,0.27,0.93,0.74,0.94,0.72
TEMP_1,,,,,,,,,,
PRES_1,1.02,,1.0,0.56,1.02,0.28,0.95,0.75,0.95,0.74
PRES_0,1.82,,1.79,1.0,1.82,,1.7,1.35,1.72,1.31
DEWP_0,1.0,,0.98,0.55,1.0,,0.93,0.74,0.94,0.72
DEWP_1,3.72,,3.52,,,1.0,3.47,,,3.07
WSPM_0,1.07,,1.05,0.59,1.07,0.29,1.0,0.79,1.01,0.77
WSPM_1,1.35,,1.33,0.74,1.35,,1.26,1.0,1.26,1.07
PM10_0,1.07,,1.05,0.58,1.06,,0.99,0.79,1.0,0.77
PM10_1,1.38,,1.36,0.76,1.38,0.33,1.3,0.93,1.29,1.0
