,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.73,1.0,0.5,0.94,0.8,0.96,0.82
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.47,0.99,0.89,1.01,0.55,0.95,0.81,0.96,0.84
PRES_0,1.44,,1.66,0.67,1.45,,1.37,1.15,1.45,1.02
DEWP_0,1.0,0.47,0.99,0.73,1.0,0.53,0.94,0.8,0.96,0.82
DEWP_1,2.24,,1.94,,2.31,0.44,2.19,,,1.76
WSPM_0,1.04,0.45,1.03,0.72,1.04,0.46,0.96,0.92,1.01,0.8
WSPM_1,1.2,,1.18,1.09,1.2,,1.22,0.83,1.11,1.62
PM10_0,1.04,0.44,1.03,0.81,1.04,,0.98,0.82,0.96,1.02
PM10_1,1.22,,1.21,0.78,1.22,0.39,1.14,1.01,1.38,0.81
