,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.61,0.74,0.64,0.89,0.74,0.62,0.62,0.53,0.6,0.57,0.65
TEMP_0,0.57,0.4,0.57,0.44,0.44,0.7,0.45,0.39,0.46,0.44,0.48
PRES_0,0.66,0.76,0.66,1.08,0.78,0.66,0.66,0.57,0.65,0.61,0.65
PRES_1,0.51,0.36,0.59,0.35,0.4,0.69,0.4,0.35,0.41,0.4,0.49
DEWP_0,0.67,0.54,0.7,0.59,0.56,0.91,0.58,0.51,0.59,0.57,0.64
DEWP_1,0.48,0.63,0.5,0.79,0.68,0.44,0.49,0.42,0.47,0.45,0.49
WSPM_0,0.7,0.68,0.72,0.79,0.74,0.73,0.66,0.57,0.66,0.61,0.63
WSPM_1,0.44,0.42,0.46,0.47,0.43,0.5,0.41,0.34,0.39,0.4,0.53
PM10_0,0.57,0.53,0.6,0.59,0.55,0.63,0.52,0.44,0.48,0.52,0.98
PM10_1,0.49,0.51,0.51,0.58,0.54,0.51,0.48,0.41,0.51,0.43,0.4
PM10_2,0.15,0.14,0.16,0.17,0.16,0.17,0.14,0.12,0.15,0.13,0.09
