,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,1.02,0.98,1.04,1.05,0.9,0.97,0.81,1.02,0.8
TEMP_0,1.2,0.89,1.2,0.9,1.01,1.17,1.06,0.89,1.12,0.9
PRES_0,0.94,0.93,0.95,1.14,1.02,0.88,0.96,0.81,1.01,0.77
PRES_1,1.2,0.95,1.39,0.87,1.03,1.31,1.08,0.9,1.14,0.98
DEWP_0,1.05,0.87,1.08,0.87,0.93,1.16,0.99,0.83,1.04,0.83
DEWP_1,1.01,1.08,1.05,1.12,1.28,0.9,1.03,0.86,1.09,0.85
WSPM_0,0.96,0.89,1.0,0.91,0.98,0.9,0.95,0.82,1.01,0.77
WSPM_1,1.12,1.03,1.17,1.02,1.09,1.15,1.1,0.88,1.13,0.97
PM10_0,0.95,0.87,0.99,0.88,0.95,0.91,0.93,0.79,0.96,0.84
PM10_1,1.16,1.08,1.2,1.11,1.2,1.12,1.16,0.95,1.31,0.85
