,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.13,0.34,1.05,0.61,0.8,0.98,0.92,0.87,0.97,0.77
TEMP_0,0.38,1.24,0.8,1.08,1.11,0.65,1.04,0.76,1.03,0.78
PRES_0,1.02,0.67,1.11,0.25,0.8,0.97,0.94,0.81,0.96,0.78
PRES_1,0.71,1.14,0.3,1.31,1.14,0.6,1.01,0.85,1.06,0.74
DEWP_0,0.82,0.98,0.84,0.97,1.15,0.3,0.92,0.88,1.0,0.73
DEWP_1,1.09,0.63,1.11,0.54,0.33,1.22,1.03,0.75,0.99,0.82
WSPM_0,0.89,0.89,0.94,0.81,0.87,0.9,1.05,0.56,0.96,0.78
WSPM_1,1.06,0.78,1.01,0.87,1.04,0.83,0.69,1.18,1.06,0.74
PM10_0,0.92,0.83,0.92,0.82,0.92,0.83,0.91,0.83,1.06,0.38
PM10_1,1.01,0.93,1.08,0.81,0.95,1.0,1.11,0.76,0.56,1.34
