,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,3.49,1.16,1.34,5.71,2.45,1.12,1.36,21.36,2.49,5.48,18.46
TEMP_0,1.16,4.47,2.18,1.67,1.06,5.34,1.34,21.41,2.37,5.28,27.28
PRES_1,1.96,3.53,2.3,1.46,1.46,4.23,1.35,21.7,2.46,5.24,23.41
PRES_0,3.23,1.16,0.65,8.31,2.45,0.95,1.35,20.79,2.38,5.67,21.05
DEWP_1,3.14,1.73,1.43,5.27,2.6,0.84,1.37,17.38,2.26,6.03,23.21
DEWP_0,1.2,4.31,2.23,1.46,0.5,6.78,1.32,27.88,2.71,4.33,21.62
WSPM_0,2.44,2.65,1.72,3.85,1.88,2.81,1.37,18.22,2.34,5.65,23.92
WSPM_1,2.12,3.09,1.85,3.64,1.34,4.82,1.25,39.8,2.98,3.84,14.89
PM10_0,2.38,2.63,1.77,3.51,1.65,3.66,1.33,28.94,3.12,3.61,6.51
PM10_1,2.53,2.68,1.66,4.17,2.04,2.32,1.37,13.47,1.86,8.25,24.45
PM10_2,1.95,3.5,1.82,4.28,1.74,2.81,1.37,3.62,0.27,5.98,119.21
