,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,16.17,0.06,2.75,0.36,0.52,1.93,0.78,1.28,0.98,1.02
TEMP_0,0.04,23.91,0.32,3.14,3.25,0.31,1.52,0.65,1.03,0.97
PRES_0,2.27,0.44,29.32,0.03,0.54,1.84,0.98,1.02,0.88,1.14
PRES_1,0.25,3.99,0.02,54.83,4.38,0.23,1.03,0.97,1.3,0.76
DEWP_0,0.5,2.01,0.48,2.09,23.46,0.04,0.76,1.32,1.16,0.86
DEWP_1,3.07,0.33,4.02,0.25,0.03,29.69,1.49,0.67,0.84,1.19
WSPM_0,0.79,1.27,0.99,1.01,0.81,1.24,3.34,0.3,0.86,1.17
WSPM_1,1.64,0.61,1.01,0.99,1.54,0.65,0.18,5.49,1.37,0.71
PM10_0,1.0,1.0,0.9,1.11,1.1,0.91,0.87,1.15,5.97,0.15
PM10_1,0.98,1.02,1.38,0.72,0.77,1.3,1.59,0.63,0.06,16.53
