,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,4.84,3.76,1.75,18.49,2.76,6.05,0.92,296.75,3.55,18.28,999.06
TEMP_0,2.48,6.58,1.99,8.64,1.61,12.15,0.81,264.82,3.1,16.06,1030.93
PRES_1,4.5,8.17,2.86,11.57,2.64,15.02,1.13,374.44,4.4,22.31,1372.55
PRES_0,3.01,2.44,0.78,14.34,1.79,3.66,0.59,187.18,2.25,12.03,660.41
DEWP_1,5.35,5.4,2.11,20.55,3.32,6.2,1.08,306.6,3.95,22.53,1265.7
DEWP_0,2.04,5.23,1.63,6.78,0.91,11.06,0.65,250.34,2.69,11.69,768.01
WSPM_0,6.52,9.21,3.2,24.1,3.88,15.95,1.48,442.04,5.58,29.8,1750.28
WSPM_1,1.05,1.69,0.57,4.29,0.59,3.53,0.24,112.61,1.07,4.58,351.63
PM10_0,4.22,5.97,2.13,15.37,2.41,11.89,0.96,373.38,4.22,15.69,852.66
PM10_1,2.66,3.73,1.25,9.9,1.61,5.82,0.59,147.35,2.01,14.48,668.48
PM10_2,0.6,1.1,0.34,2.71,0.39,1.62,0.15,15.41,0.15,3.26,415.19
