,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.32,0.98,0.61,1.0,0.34,0.91,0.71,0.93,0.73
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.31,0.99,0.7,1.01,0.36,0.92,0.72,0.94,0.75
PRES_0,1.72,,1.82,0.71,1.72,0.44,1.57,1.07,1.64,1.13
DEWP_0,1.0,0.31,0.98,0.61,1.0,0.35,0.91,0.71,0.93,0.73
DEWP_1,3.29,,3.32,,3.28,0.49,3.17,,,2.43
WSPM_0,1.06,0.3,1.05,0.6,1.06,0.29,0.96,0.79,1.0,0.71
WSPM_1,1.32,,1.28,1.16,1.31,,1.22,0.85,1.19,1.71
PM10_0,1.06,0.31,1.04,0.7,1.06,0.88,0.96,0.75,0.97,0.85
PM10_1,1.34,,1.32,0.71,1.34,0.28,1.22,0.88,1.35,0.84
